,name,crosses,numberOfStrands
872,0_1,"[X(3,8,4,9), X(7,18,8,19), X(9,4,10,5), X(11,7,12,6), X(14,2,15,1), X(16,5,17,6), X(17,10,18,11), X(20,14,21,13), X(21,1,22,26), X(22,15,23,16), X(23,2,24,3), X(24,20,25,19), X(25,13,26,12)]",26
873,0_1,"[X(1,21,2,20), X(1,40,42,39), X(3,22,4,23), X(5,40,6,41), X(6,24,7,23), X(8,29,9,30), X(14,20,15,19), X(15,37,16,36), X(16,7,17,8), X(17,24,18,25), X(18,14,19,13), X(21,39,22,38), X(26,12,27,11), X(28,9,29,10), X(30,35,31,36), X(31,12,32,13), X(32,26,33,25), X(33,11,34,10), X(34,27,35,28), X(37,2,38,3), X(41,4,42,5)]",42
874,0_1,"[X(1,13,2,12), X(2,18,3,17), X(3,10,4,11), X(4,8,5,7), X(5,14,6,15), X(9,19,10,18), X(11,16,12,17), X(13,1,14,20), X(15,6,16,7), X(19,9,20,8)]",20
875,0_1,"[X(1,12,22,11), X(1,16,2,17), X(3,18,4,19), X(4,16,5,15), X(5,21,6,20), X(8,14,9,13), X(9,6,10,7), X(10,21,11,22), X(12,8,13,7), X(17,2,18,3), X(19,15,20,14)]",22
876,0_1,"[X(1,18,2,19), X(3,17,4,16), X(5,29,6,28), X(7,23,8,22), X(8,27,9,28), X(9,4,10,5), X(10,30,11,29), X(12,25,13,26), X(13,30,14,1), X(14,17,15,18), X(15,3,16,2), X(19,27,20,26), X(21,7,22,6), X(23,21,24,20), X(24,11,25,12)]",30
877,0_1,"[X(1,35,42,36), X(2,38,3,37), X(6,30,7,29), X(9,21,10,20), X(10,18,11,17), X(11,22,12,23), X(12,15,13,16), X(14,33,15,34), X(19,9,20,8), X(21,19,22,18), X(23,16,24,17), X(24,7,25,8), X(26,4,27,3), X(27,40,28,41), X(30,6,31,5), X(31,29,32,28), X(32,13,33,14), X(34,2,35,1), X(36,42,37,41), X(38,25,39,26), X(39,5,40,4)]",42
878,0_1,"[X(2,11,3,12), X(6,18,7,17), X(7,5,8,4), X(9,13,10,12), X(10,1,11,2), X(13,9,14,8), X(14,3,15,4), X(15,1,16,20), X(18,6,19,5), X(19,17,20,16)]",20
879,0_1,"[X(5,32,6,33), X(8,17,9,18), X(9,27,10,26), X(10,16,11,15), X(11,24,12,25), X(13,38,14,39), X(20,2,21,1), X(22,3,23,4), X(25,14,26,15), X(27,17,28,16), X(28,23,29,24), X(29,3,30,2), X(30,22,31,21), X(31,6,32,7), X(33,4,34,5), X(34,8,35,7), X(35,42,36,1), X(37,18,38,19), X(39,12,40,13), X(40,20,41,19), X(41,36,42,37)]",42
880,0_1,"[X(1,29,2,28), X(2,7,3,8), X(3,26,4,27), X(4,24,5,23), X(6,26,7,25), X(8,27,9,28), X(9,36,10,1), X(10,19,11,20), X(12,18,13,17), X(13,35,14,34), X(15,30,16,31), X(16,33,17,34), X(20,11,21,12), X(21,19,22,18), X(22,36,23,35), X(24,6,25,5), X(31,14,32,15), X(32,29,33,30)]",36
881,0_1,"[X(1,18,30,17), X(1,29,2,28), X(2,26,3,25), X(3,8,4,9), X(4,23,5,24), X(5,11,6,10), X(6,22,7,21), X(7,12,8,13), X(14,27,15,28), X(16,29,17,30), X(18,15,19,16), X(19,27,20,26), X(20,14,21,13), X(22,11,23,12), X(24,10,25,9)]",30
882,0_1,"[X(1,8,24,7), X(2,12,3,11), X(3,21,4,20), X(4,9,5,10), X(6,1,7,2), X(12,16,13,15), X(13,23,14,22), X(17,8,18,9), X(18,6,19,5), X(19,11,20,10), X(21,15,22,14), X(23,16,24,17)]",24
883,0_1,"[X(1,21,2,20), X(3,19,4,18), X(7,31,8,30), X(8,11,9,12), X(10,25,11,26), X(15,28,16,29), X(16,14,17,13), X(17,5,18,4), X(19,1,20,32), X(21,3,22,2), X(22,5,23,6), X(23,27,24,26), X(24,9,25,10), X(27,14,28,15), X(29,13,30,12), X(31,7,32,6)]",32
884,0_1,"[X(1,14,20,13), X(2,11,3,12), X(3,17,4,16), X(5,19,6,18), X(6,10,7,9), X(7,14,8,15), X(12,1,13,2), X(15,8,16,9), X(17,5,18,4), X(19,11,20,10)]",20
885,0_1,"[X(1,9,20,10), X(3,7,4,6), X(4,14,5,13), X(8,17,9,18), X(11,3,12,2), X(12,6,13,5), X(14,1,15,2), X(15,10,16,11), X(18,7,19,8), X(19,16,20,17)]",20
886,0_1,"[X(1,12,32,11), X(2,23,3,24), X(4,8,5,7), X(6,21,7,22), X(8,4,9,3), X(9,25,10,24), X(10,1,11,2), X(12,29,13,30), X(13,19,14,18), X(14,28,15,27), X(17,30,18,31), X(20,25,21,26), X(22,5,23,6), X(26,16,27,15), X(28,19,29,20), X(31,16,32,17)]",32
887,0_1,"[X(1,10,2,11), X(1,20,28,19), X(2,5,3,6), X(3,23,4,22), X(6,12,7,11), X(12,22,13,21), X(13,9,14,8), X(16,28,17,27), X(17,14,18,15), X(18,25,19,26), X(20,7,21,8), X(23,5,24,4), X(24,10,25,9), X(26,16,27,15)]",28
888,0_1,"[X(1,16,2,17), X(6,27,7,28), X(8,15,9,16), X(9,3,10,2), X(10,14,11,13), X(12,24,13,23), X(14,3,15,4), X(17,28,18,1), X(18,7,19,8), X(20,6,21,5), X(22,12,23,11), X(24,22,25,21), X(25,4,26,5), X(26,19,27,20)]",28
889,0_1,"[X(1,11,24,12), X(2,16,3,15), X(4,19,5,20), X(7,14,8,15), X(9,13,10,12), X(10,2,11,1), X(16,22,17,21), X(17,7,18,6), X(18,3,19,4), X(20,5,21,6), X(22,13,23,14), X(23,9,24,8)]",24
890,0_1,"[X(1,11,24,12), X(1,15,2,14), X(2,21,3,22), X(3,16,4,17), X(7,19,8,18), X(8,5,9,6), X(12,24,13,23), X(13,11,14,10), X(15,20,16,21), X(17,7,18,6), X(19,4,20,5), X(22,9,23,10)]",24
891,0_1,"[X(2,23,3,24), X(4,29,5,30), X(6,28,7,27), X(7,35,8,34), X(9,32,10,33), X(12,41,13,42), X(13,11,14,10), X(14,34,15,33), X(15,8,16,9), X(17,37,18,36), X(18,44,19,43), X(19,46,20,1), X(21,44,22,45), X(24,3,25,4), X(25,28,26,29), X(26,6,27,5), X(35,17,36,16), X(37,23,38,22), X(38,2,39,1), X(39,30,40,31), X(40,11,41,12), X(42,32,43,31), X(45,20,46,21)]",46
892,0_1,"[X(1,17,26,18), X(1,24,2,25), X(3,23,4,22), X(4,14,5,13), X(5,8,6,9), X(6,19,7,20), X(11,21,12,20), X(12,10,13,9), X(14,23,15,24), X(15,3,16,2), X(16,26,17,25), X(18,7,19,8), X(21,11,22,10)]",26
893,0_1,"[X(1,9,32,10), X(3,26,4,27), X(4,24,5,23), X(5,19,6,18), X(6,21,7,22), X(7,15,8,14), X(11,30,12,31), X(13,9,14,8), X(15,3,16,2), X(16,27,17,28), X(17,23,18,22), X(19,24,20,25), X(25,20,26,21), X(28,1,29,2), X(29,10,30,11), X(31,12,32,13)]",32
894,0_1,"[X(1,22,30,21), X(1,29,2,28), X(3,15,4,14), X(5,13,6,12), X(8,24,9,23), X(13,5,14,4), X(15,24,16,25), X(16,8,17,7), X(17,27,18,26), X(18,11,19,12), X(19,2,20,3), X(20,29,21,30), X(22,10,23,9), X(25,7,26,6), X(27,10,28,11)]",30
895,0_1,"[X(1,22,26,21), X(4,20,5,19), X(6,18,7,17), X(8,3,9,4), X(9,25,10,24), X(11,22,12,23), X(13,10,14,11), X(14,25,15,26), X(15,3,16,2), X(16,8,17,7), X(18,6,19,5), X(20,1,21,2), X(23,12,24,13)]",26
896,0_1,"[X(1,13,26,14), X(2,26,3,25), X(4,19,5,20), X(5,9,6,8), X(7,20,8,21), X(9,19,10,18), X(10,4,11,3), X(14,2,15,1), X(16,23,17,24), X(17,12,18,13), X(21,6,22,7), X(22,12,23,11), X(24,15,25,16)]",26
897,0_1,"[X(1,3,26,4), X(1,12,2,13), X(4,11,5,12), X(5,15,6,14), X(7,20,8,21), X(13,2,14,3), X(16,23,17,24), X(17,7,18,6), X(19,8,20,9), X(21,19,22,18), X(22,9,23,10), X(24,15,25,16), X(25,11,26,10)]",26
898,0_1,"[X(1,13,2,12), X(3,15,4,14), X(4,20,5,19), X(5,9,6,8), X(6,17,7,18), X(10,15,11,16), X(11,3,12,2), X(13,1,14,22), X(18,7,19,8), X(20,10,21,9), X(21,16,22,17)]",22
899,0_1,"[X(2,6,3,5), X(4,11,5,12), X(6,17,7,18), X(8,15,9,16), X(9,1,10,18), X(10,14,11,13), X(12,3,13,4), X(14,1,15,2), X(16,7,17,8)]",18
900,0_1,"[X(1,8,36,7), X(5,11,6,10), X(6,1,7,2), X(8,4,9,3), X(14,29,15,30), X(16,21,17,22), X(17,29,18,28), X(19,23,20,22), X(20,15,21,16), X(23,12,24,13), X(24,32,25,31), X(26,12,27,11), X(27,19,28,18), X(30,13,31,14), X(32,26,33,25), X(33,5,34,4), X(34,10,35,9), X(35,2,36,3)]",36
901,0_1,"[X(1,10,20,9), X(4,16,5,15), X(5,12,6,13), X(6,20,7,19), X(8,1,9,2), X(10,8,11,7), X(11,2,12,3), X(13,19,14,18), X(16,4,17,3), X(17,15,18,14)]",20
902,0_1,"[X(1,9,20,10), X(2,15,3,16), X(4,14,5,13), X(6,1,7,2), X(7,10,8,11), X(8,20,9,19), X(11,19,12,18), X(12,6,13,5), X(16,3,17,4), X(17,15,18,14)]",20
903,0_1,"[X(2,12,3,11), X(6,13,7,14), X(7,5,8,4), X(9,17,10,16), X(10,2,11,1), X(12,5,13,6), X(14,4,15,3), X(15,18,16,1), X(17,9,18,8)]",18
904,0_1,"[X(3,15,4,14), X(4,2,5,1), X(8,17,9,18), X(9,6,10,7), X(10,20,11,19), X(11,16,12,17), X(13,22,14,1), X(15,3,16,2), X(18,7,19,8), X(20,6,21,5), X(21,12,22,13)]",22
905,0_1,"[X(2,11,3,12), X(3,1,4,26), X(6,24,7,23), X(7,15,8,14), X(8,21,9,22), X(9,16,10,17), X(10,1,11,2), X(12,18,13,17), X(13,23,14,22), X(15,20,16,21), X(19,4,20,5), X(24,6,25,5), X(25,18,26,19)]",26
906,0_1,"[X(1,6,28,5), X(2,14,3,13), X(4,15,5,16), X(6,22,7,21), X(10,26,11,25), X(11,8,12,9), X(12,19,13,20), X(16,3,17,4), X(17,14,18,15), X(18,2,19,1), X(22,8,23,7), X(23,26,24,27), X(24,10,25,9), X(27,20,28,21)]",28
907,0_1,"[X(1,15,22,16), X(3,13,4,12), X(5,18,6,19), X(6,11,7,12), X(8,1,9,2), X(13,3,14,2), X(14,7,15,8), X(16,10,17,9), X(19,4,20,5), X(20,17,21,18), X(21,10,22,11)]",22
908,0_1,"[X(2,12,3,11), X(3,17,4,16), X(5,19,6,18), X(7,12,8,13), X(8,2,9,1), X(10,23,11,24), X(15,24,16,25), X(17,5,18,4), X(19,7,20,6), X(20,13,21,14), X(21,1,22,26), X(22,9,23,10), X(25,14,26,15)]",26
909,0_1,"[X(1,16,2,17), X(2,12,3,11), X(3,15,4,14), X(5,9,6,8), X(7,20,8,21), X(9,1,10,24), X(13,5,14,4), X(15,12,16,13), X(17,11,18,10), X(18,23,19,24), X(21,6,22,7), X(22,19,23,20)]",24
910,0_1,"[X(1,14,18,13), X(2,7,3,8), X(3,15,4,14), X(5,16,6,17), X(8,1,9,2), X(9,6,10,7), X(10,16,11,15), X(11,5,12,4), X(12,17,13,18)]",18
911,0_1,"[X(1,6,14,5), X(4,9,5,10), X(6,1,7,2), X(8,12,9,11), X(10,3,11,4), X(12,8,13,7), X(13,3,14,2)]",14
912,0_1,"[X(2,22,3,21), X(3,24,4,25), X(5,22,6,23), X(6,2,7,1), X(7,13,8,12), X(10,42,11,41), X(13,37,14,36), X(16,33,17,34), X(19,30,20,31), X(23,4,24,5), X(25,1,26,42), X(26,12,27,11), X(28,9,29,10), X(29,20,30,21), X(32,15,33,16), X(34,17,35,18), X(35,15,36,14), X(37,19,38,18), X(38,31,39,32), X(39,9,40,8), X(40,28,41,27)]",42
913,0_1,"[X(1,11,2,10), X(2,7,3,8), X(4,13,5,14), X(9,25,10,24), X(11,6,12,7), X(15,22,16,23), X(17,26,18,1), X(18,5,19,6), X(19,13,20,12), X(20,4,21,3), X(21,14,22,15), X(23,9,24,8), X(25,16,26,17)]",26
914,0_1,"[X(1,19,2,18), X(2,15,3,16), X(4,11,5,12), X(7,25,8,24), X(8,5,9,6), X(9,22,10,23), X(12,3,13,4), X(13,20,14,21), X(17,1,18,26), X(19,14,20,15), X(21,10,22,11), X(23,7,24,6), X(25,17,26,16)]",26
915,0_1,"[X(1,18,38,17), X(2,29,3,30), X(4,28,5,27), X(5,37,6,36), X(8,31,9,32), X(9,25,10,24), X(11,14,12,15), X(12,21,13,22), X(15,19,16,18), X(16,37,17,38), X(20,13,21,14), X(22,20,23,19), X(23,11,24,10), X(25,7,26,6), X(30,7,31,8), X(32,1,33,2), X(33,28,34,29), X(34,4,35,3), X(35,27,36,26)]",38
916,0_1,"[X(1,7,18,8), X(3,12,4,13), X(6,18,7,17), X(8,2,9,1), X(9,16,10,17), X(10,5,11,6), X(13,2,14,3), X(14,11,15,12), X(15,5,16,4)]",18
917,0_1,"[X(1,23,2,22), X(1,31,42,32), X(2,38,3,37), X(3,24,4,25), X(4,33,5,34), X(6,35,7,36), X(7,20,8,21), X(9,17,10,16), X(10,28,11,27), X(11,30,12,31), X(13,41,14,40), X(14,19,15,20), X(15,9,16,8), X(17,29,18,28), X(26,21,27,22), X(29,19,30,18), X(32,40,33,39), X(34,5,35,6), X(36,26,37,25), X(38,23,39,24), X(41,13,42,12)]",42
918,0_1,"[X(1,6,26,5), X(2,19,3,20), X(9,25,10,24), X(11,9,12,8), X(13,6,14,7), X(14,21,15,22), X(15,4,16,5), X(16,2,17,1), X(18,3,19,4), X(20,18,21,17), X(22,8,23,7), X(23,12,24,13), X(25,11,26,10)]",26
919,0_1,"[X(1,7,20,8), X(3,16,4,17), X(5,3,6,2), X(6,10,7,9), X(8,2,9,1), X(10,14,11,13), X(11,18,12,19), X(15,4,16,5), X(17,15,18,14), X(19,12,20,13)]",20
920,0_1,"[X(2,8,3,7), X(4,17,5,18), X(6,20,7,19), X(8,4,9,3), X(9,18,10,19), X(10,5,11,6), X(11,17,12,16), X(13,23,14,22), X(14,2,15,1), X(15,20,16,21), X(21,24,22,1), X(23,13,24,12)]",24
921,0_1,"[X(2,9,3,10), X(3,7,4,6), X(4,20,5,19), X(8,21,9,22), X(10,18,11,17), X(11,22,12,23), X(12,2,13,1), X(15,1,16,24), X(16,13,17,14), X(18,6,19,5), X(20,7,21,8), X(23,15,24,14)]",24
922,0_1,"[X(1,23,32,24), X(3,13,4,12), X(5,21,6,20), X(6,10,7,9), X(7,18,8,19), X(14,25,15,26), X(15,3,16,2), X(16,30,17,29), X(17,11,18,10), X(19,8,20,9), X(22,28,23,27), X(24,13,25,14), X(26,2,27,1), X(28,22,29,21), X(30,12,31,11), X(31,4,32,5)]",32
923,0_1,"[X(1,9,26,10), X(2,12,3,11), X(3,22,4,23), X(4,19,5,20), X(6,13,7,14), X(7,25,8,24), X(8,16,9,15), X(10,2,11,1), X(12,17,13,18), X(14,24,15,23), X(16,25,17,26), X(18,21,19,22), X(20,5,21,6)]",26
924,0_1,"[X(1,22,2,23), X(2,20,3,19), X(3,9,4,8), X(4,13,5,14), X(5,19,6,18), X(6,16,7,15), X(9,20,10,21), X(11,1,12,24), X(14,18,15,17), X(16,8,17,7), X(21,10,22,11), X(23,13,24,12)]",24
925,0_1,"[X(1,5,18,6), X(2,18,3,17), X(4,11,5,12), X(6,2,7,1), X(8,14,9,13), X(10,3,11,4), X(14,10,15,9), X(15,12,16,13), X(16,7,17,8)]",18
926,0_1,"[X(1,27,50,28), X(1,30,2,31), X(3,9,4,8), X(6,29,7,30), X(7,3,8,2), X(9,5,10,4), X(10,32,11,31), X(11,49,12,48), X(12,45,13,46), X(14,47,15,48), X(18,37,19,38), X(19,41,20,40), X(21,39,22,38), X(23,42,24,43), X(24,15,25,16), X(25,45,26,44), X(26,33,27,34), X(28,5,29,6), X(32,50,33,49), X(34,18,35,17), X(35,22,36,23), X(39,21,40,20), X(41,37,42,36), X(43,16,44,17), X(46,13,47,14)]",50
927,0_1,"[X(1,18,20,17), X(4,14,5,13), X(5,2,6,3), X(7,17,8,16), X(10,19,11,20), X(11,9,12,8), X(12,4,13,3), X(14,1,15,2), X(15,7,16,6), X(18,9,19,10)]",20
928,0_1,"[X(2,10,3,9), X(3,16,4,1), X(4,11,5,12), X(5,15,6,14), X(7,13,8,12), X(8,2,9,1), X(10,15,11,16), X(13,7,14,6)]",16
929,0_1,"[X(1,12,26,11), X(6,17,7,18), X(7,5,8,4), X(8,20,9,19), X(9,2,10,3), X(12,25,13,26), X(14,22,15,21), X(16,5,17,6), X(18,4,19,3), X(20,16,21,15), X(22,1,23,2), X(23,11,24,10), X(24,13,25,14)]",26
930,0_1,"[X(1,9,24,10), X(2,22,3,21), X(3,9,4,8), X(4,18,5,17), X(6,19,7,20), X(10,13,11,14), X(12,23,13,24), X(14,2,15,1), X(16,6,17,5), X(18,15,19,16), X(20,7,21,8), X(22,11,23,12)]",24
931,0_1,"[X(1,11,2,10), X(2,23,3,24), X(4,7,5,8), X(5,17,6,16), X(12,22,13,21), X(13,29,14,28), X(15,20,16,21), X(17,7,18,6), X(18,4,19,3), X(19,8,20,9), X(22,12,23,11), X(24,9,25,10), X(25,30,26,1), X(27,15,28,14), X(29,26,30,27)]",30
932,0_1,"[X(1,18,2,19), X(5,13,6,12), X(6,4,7,3), X(9,20,10,1), X(11,14,12,15), X(13,5,14,4), X(15,3,16,2), X(16,7,17,8), X(17,11,18,10), X(19,8,20,9)]",20
933,0_1,"[X(1,14,20,13), X(4,18,5,17), X(8,16,9,15), X(9,3,10,2), X(10,5,11,6), X(11,18,12,19), X(12,8,13,7), X(14,1,15,2), X(16,4,17,3), X(19,7,20,6)]",20
934,0_1,"[X(1,9,24,10), X(1,12,2,13), X(3,10,4,11), X(5,15,6,14), X(7,20,8,21), X(11,2,12,3), X(16,23,17,24), X(17,5,18,4), X(18,14,19,13), X(19,8,20,9), X(21,6,22,7), X(22,15,23,16)]",24
935,0_1,"[X(1,10,2,11), X(2,25,3,26), X(3,23,4,22), X(4,28,5,27), X(5,20,6,21), X(7,13,8,12), X(8,15,9,16), X(9,30,10,1), X(14,20,15,19), X(16,11,17,12), X(17,6,18,7), X(18,14,19,13), X(24,29,25,30), X(26,22,27,21), X(28,23,29,24)]",30
936,0_1,"[X(1,22,32,21), X(1,29,2,28), X(3,25,4,24), X(8,17,9,18), X(9,6,10,7), X(10,29,11,30), X(11,21,12,20), X(14,23,15,24), X(15,2,16,3), X(16,6,17,5), X(18,7,19,8), X(19,30,20,31), X(22,28,23,27), X(25,5,26,4), X(26,13,27,14), X(31,12,32,13)]",32
937,0_1,"[X(1,20,30,19), X(3,29,4,28), X(5,3,6,2), X(6,17,7,18), X(7,21,8,20), X(9,27,10,26), X(10,13,11,14), X(11,24,12,25), X(14,25,15,26), X(18,1,19,2), X(21,9,22,8), X(22,15,23,16), X(23,12,24,13), X(27,17,28,16), X(29,5,30,4)]",30
938,0_1,"[X(1,18,2,19), X(2,21,3,22), X(3,8,4,9), X(4,16,5,15), X(5,25,6,24), X(7,16,8,17), X(9,15,10,14), X(12,23,13,24), X(13,11,14,10), X(17,21,18,20), X(19,26,20,1), X(22,11,23,12), X(25,7,26,6)]",26
939,0_1,"[X(1,5,22,6), X(1,16,2,17), X(3,10,4,11), X(4,18,5,17), X(9,18,10,19), X(11,2,12,3), X(12,20,13,19), X(13,8,14,9), X(15,7,16,6), X(20,7,21,8), X(21,15,22,14)]",22
940,0_1,"[X(1,10,22,9), X(1,21,2,20), X(4,15,5,16), X(6,19,7,20), X(7,11,8,10), X(8,21,9,22), X(11,19,12,18), X(13,3,14,2), X(14,5,15,6), X(16,3,17,4), X(17,13,18,12)]",22
941,0_1,"[X(1,5,26,6), X(1,15,2,14), X(6,20,7,19), X(8,17,9,18), X(9,20,10,21), X(10,26,11,25), X(12,4,13,3), X(15,19,16,18), X(16,7,17,8), X(21,3,22,2), X(22,13,23,14), X(23,4,24,5), X(24,12,25,11)]",26
942,0_1,"[X(1,11,2,10), X(3,22,4,1), X(4,15,5,16), X(7,13,8,12), X(9,3,10,2), X(14,17,15,18), X(16,5,17,6), X(18,13,19,14), X(19,7,20,6), X(20,12,21,11), X(21,8,22,9)]",22
943,0_1,"[X(1,40,52,39), X(3,36,4,37), X(4,1,5,2), X(5,39,6,38), X(6,52,7,51), X(7,34,8,35), X(9,33,10,32), X(11,42,12,43), X(12,46,13,45), X(13,19,14,18), X(19,15,20,14), X(21,16,22,17), X(22,32,23,31), X(23,10,24,11), X(25,40,26,41), X(26,16,27,15), X(27,21,28,20), X(28,17,29,18), X(29,44,30,45), X(37,2,38,3), X(43,30,44,31), X(46,42,47,41), X(47,24,48,25), X(48,33,49,34), X(49,9,50,8), X(50,36,51,35)]",52
944,0_1,"[X(1,12,18,11), X(2,8,3,7), X(4,15,5,16), X(6,4,7,3), X(8,13,9,14), X(9,17,10,16), X(10,1,11,2), X(12,17,13,18), X(14,5,15,6)]",18
945,0_1,"[X(1,29,2,28), X(2,16,3,15), X(6,17,7,18), X(7,4,8,5), X(8,22,9,21), X(9,36,10,37), X(10,31,11,32), X(11,39,12,38), X(12,34,13,33), X(14,28,15,27), X(16,4,17,3), X(18,5,19,6), X(19,26,20,27), X(22,29,23,30), X(23,1,24,40), X(24,14,25,13), X(25,20,26,21), X(34,39,35,40), X(35,31,36,30), X(37,32,38,33)]",40
946,0_1,"[X(1,15,2,14), X(3,16,4,17), X(5,23,6,22), X(6,30,7,29), X(8,27,9,28), X(10,21,11,22), X(11,4,12,5), X(13,1,14,30), X(18,8,19,7), X(19,28,20,29), X(20,9,21,10), X(23,12,24,13), X(24,16,25,15), X(25,3,26,2), X(26,17,27,18)]",30
947,0_1,"[X(2,12,3,11), X(3,24,4,25), X(4,13,5,14), X(5,23,6,22), X(6,2,7,1), X(10,17,11,18), X(15,8,16,9), X(16,20,17,19), X(18,9,19,10), X(20,8,21,7), X(21,26,22,1), X(23,13,24,12), X(25,14,26,15)]",26
948,0_1,"[X(1,31,34,32), X(2,19,3,20), X(5,33,6,32), X(6,2,7,1), X(8,28,9,27), X(13,24,14,25), X(14,12,15,11), X(15,28,16,29), X(16,8,17,7), X(18,3,19,4), X(20,30,21,29), X(22,9,23,10), X(23,12,24,13), X(25,11,26,10), X(26,21,27,22), X(30,18,31,17), X(33,5,34,4)]",34
949,0_1,"[X(1,16,20,15), X(2,10,3,9), X(7,14,8,15), X(8,2,9,1), X(10,4,11,3), X(12,5,13,6), X(16,11,17,12), X(17,4,18,5), X(18,14,19,13), X(19,7,20,6)]",20
950,0_1,"[X(3,28,4,29), X(5,41,6,40), X(8,2,9,1), X(10,36,11,35), X(11,19,12,18), X(12,31,13,32), X(13,16,14,17), X(15,34,16,35), X(19,30,20,31), X(21,39,22,38), X(23,4,24,5), X(24,8,25,7), X(25,1,26,42), X(26,9,27,10), X(27,2,28,3), X(32,17,33,18), X(33,14,34,15), X(36,29,37,30), X(37,21,38,20), X(39,23,40,22), X(41,7,42,6)]",42
951,0_1,"[X(1,13,2,12), X(2,8,3,7), X(4,17,5,18), X(8,4,9,3), X(9,6,10,7), X(10,24,11,23), X(15,20,16,21), X(16,14,17,13), X(18,5,19,6), X(19,14,20,15), X(21,1,22,24), X(22,12,23,11)]",24
952,0_1,"[X(2,9,3,10), X(3,30,4,1), X(4,7,5,8), X(5,29,6,28), X(10,1,11,2), X(12,17,13,18), X(13,21,14,20), X(14,23,15,24), X(16,21,17,22), X(18,26,19,25), X(22,15,23,16), X(24,12,25,11), X(26,20,27,19), X(27,8,28,9), X(29,7,30,6)]",30
953,0_1,"[X(2,16,3,15), X(3,1,4,28), X(4,17,5,18), X(5,9,6,8), X(6,20,7,19), X(11,24,12,25), X(13,22,14,23), X(14,26,15,25), X(16,2,17,1), X(18,8,19,7), X(20,27,21,28), X(21,10,22,11), X(23,12,24,13), X(26,10,27,9)]",28
954,0_1,"[X(1,20,44,19), X(1,40,2,41), X(2,37,3,38), X(4,40,5,39), X(11,27,12,26), X(12,10,13,9), X(14,7,15,8), X(21,16,22,17), X(23,7,24,6), X(24,14,25,13), X(25,8,26,9), X(27,11,28,10), X(28,5,29,6), X(29,19,30,18), X(31,42,32,43), X(32,17,33,18), X(33,22,34,23), X(34,16,35,15), X(36,3,37,4), X(38,36,39,35), X(41,21,42,20), X(43,30,44,31)]",44
955,0_1,"[X(1,4,18,3), X(2,10,3,9), X(6,16,7,15), X(7,4,8,5), X(10,2,11,1), X(11,9,12,8), X(13,16,14,17), X(14,6,15,5), X(17,12,18,13)]",18
956,0_1,"[X(2,21,3,22), X(3,11,4,10), X(5,8,6,9), X(6,16,7,15), X(13,1,14,24), X(16,8,17,7), X(17,14,18,15), X(18,10,19,9), X(19,4,20,5), X(20,11,21,12), X(22,1,23,2), X(23,13,24,12)]",24
957,0_1,"[X(1,12,2,13), X(2,6,3,5), X(4,13,5,14), X(6,16,7,15), X(7,11,8,10), X(9,1,10,18), X(11,16,12,17), X(14,3,15,4), X(17,9,18,8)]",18
958,0_1,"[X(1,11,26,12), X(10,5,11,6), X(12,2,13,1), X(13,7,14,6), X(14,21,15,22), X(15,8,16,9), X(17,4,18,5), X(19,3,20,2), X(20,8,21,7), X(22,9,23,10), X(23,16,24,17), X(24,3,25,4), X(25,19,26,18)]",26
959,0_1,"[X(2,13,3,14), X(3,10,4,11), X(4,16,5,15), X(5,9,6,8), X(7,1,8,18), X(12,1,13,2), X(14,11,15,12), X(16,10,17,9), X(17,7,18,6)]",18
960,0_1,"[X(2,11,3,12), X(3,18,4,1), X(5,15,6,14), X(7,17,8,16), X(9,5,10,4), X(10,14,11,13), X(12,1,13,2), X(15,9,16,8), X(17,7,18,6)]",18
961,0_1,"[X(1,8,2,9), X(2,14,3,13), X(4,15,5,16), X(6,10,7,9), X(7,18,8,1), X(10,17,11,18), X(11,15,12,14), X(12,4,13,3), X(16,5,17,6)]",18
962,0_1,"[X(1,7,2,6), X(3,15,4,14), X(7,12,8,13), X(8,20,9,19), X(10,18,11,17), X(11,20,12,1), X(13,5,14,4), X(15,3,16,2), X(16,5,17,6), X(18,10,19,9)]",20
963,0_1,"[X(1,11,22,12), X(2,13,3,14), X(3,18,4,19), X(4,8,5,7), X(5,21,6,20), X(8,22,9,21), X(9,15,10,14), X(15,11,16,10), X(16,1,17,2), X(17,12,18,13), X(19,7,20,6)]",22
964,0_1,"[X(1,37,48,38), X(2,40,3,39), X(3,30,4,31), X(4,41,5,42), X(5,29,6,28), X(6,34,7,33), X(7,26,8,27), X(9,44,10,45), X(10,16,11,15), X(12,19,13,20), X(13,16,14,17), X(14,22,15,21), X(18,11,19,12), X(20,17,21,18), X(22,44,23,43), X(23,36,24,37), X(27,32,28,33), X(34,25,35,26), X(35,47,36,46), X(38,2,39,1), X(40,29,41,30), X(42,32,43,31), X(45,8,46,9), X(47,25,48,24)]",48
965,0_1,"[X(2,10,3,9), X(5,14,6,15), X(8,2,9,1), X(10,8,11,7), X(11,1,12,18), X(12,3,13,4), X(15,4,16,5), X(16,13,17,14), X(17,7,18,6)]",18
966,0_1,"[X(2,15,3,16), X(5,11,6,10), X(7,19,8,18), X(8,11,9,12), X(9,5,10,4), X(12,17,13,18), X(13,1,14,20), X(14,3,15,4), X(16,1,17,2), X(19,7,20,6)]",20
